Algorithm,Experiment,Average Reward
DQN,1,360.25
DQN,2,284.85
DQN,3,437.6
DQN,4,684.0
DQN,5,706.5
DQN,6,640.25
DQN,7,315.25
DQN,8,441.15
DQN,9,667.2
DQN,10,652.45
PPO,1,651.3
PPO,2,656.6
PPO,3,621.45
PPO,4,625.5
PPO,5,603.2
PPO,6,638.0
PPO,7,661.45
PPO,8,610.4
PPO,9,670.2
PPO,10,641.4
A2C,1,639.05
A2C,2,658.3
A2C,3,681.65
A2C,4,672.95
A2C,5,549.6
A2C,6,635.85
A2C,7,640.8
A2C,8,715.3
A2C,9,621.0
A2C,10,638.3
REINFORCE,1,351.1
REINFORCE,2,392.15
REINFORCE,3,-13.15
REINFORCE,4,454.15
REINFORCE,5,252.55
REINFORCE,6,662.85
REINFORCE,7,553.5
REINFORCE,8,692.0
REINFORCE,9,616.15
REINFORCE,10,653.0
